Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
198;4700151711;"Journal for the History of Astronomy";journal;"00218286";0,202;Q4;15;16;70;730;30;64;0,50;45,63;United States;"SAGE Publications Inc.";"1970-ongoing";"Arts and Humanities (miscellaneous) (Q3); Astronomy and Astrophysics (Q4); Physics and Astronomy (miscellaneous) (Q4)"
199;4700152850;"Revista Brasileira de Ensino de Fisica";journal;"18061117, 18069126";0,201;Q4;9;85;243;2364;57;237;0,26;27,81;Brazil;"Sociedade Brasileira de Fisica";"2006-ongoing";"Education (Q3); Physics and Astronomy (miscellaneous) (Q4)"
200;21100199540;"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali";journal;"03650359, 18251242";0,200;Q4;10;45;39;1080;23;39;0,36;24,00;Italy;"Accademia Peloritana dei Pericolanti";"2003, 2005-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); History and Philosophy of Science (Q3); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
201;21100864538;"Izvestiya Vysshikh Uchebnykh Zavedeniy. Prikladnaya Nelineynaya Dinamika";journal;"08696632, 25421905";0,200;Q4;2;33;36;1086;13;32;0,41;32,91;Russian Federation;"Saratov State University";"2017-ongoing";"Applied Mathematics (Q4); Physics and Astronomy (miscellaneous) (Q4); Statistical and Nonlinear Physics (Q4)"
202;21100217636;"Journal of Thermodynamics";journal;"16879252, 16879244";0,199;Q4;8;0;27;0;19;27;0,87;0,00;Egypt;"Hindawi Publishing Corporation";"2012-ongoing";"Biophysics (Q4); Physical and Theoretical Chemistry (Q4); Physics and Astronomy (miscellaneous) (Q4)"
203;21100875598;"Fizika Nizkikh Temperatur";journal;"01326414, 18160328";0,196;Q4;21;178;493;5675;174;487;0,38;31,88;Ukraine;"ILTPE-B. Verkin Institute for Low Temperature Physics and Engineering";"1987-1989, 1996-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
204;28119;"Johns Hopkins APL Technical Digest (Applied Physics Laboratory)";journal;"02705214";0,196;Q4;30;24;39;374;20;39;0,12;15,58;United States;"Johns Hopkins University Press";"1981-1994, 1996-ongoing";"Engineering (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q4)"
205;12384;"Topics in Applied Physics";book series;"03034216";0,194;Q4;34;0;124;0;59;55;9,75;0,00;Germany;"Springer Verlag";"1983, 1985, 2005-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
206;21100429007;"Journal of Computational and Theoretical Transport";journal;"23324309, 23324325";0,191;Q4;25;23;74;422;43;73;0,62;18,35;United Kingdom;"Taylor and Francis Ltd.";"2013-ongoing";"Applied Mathematics (Q4); Mathematical Physics (Q4); Physics and Astronomy (miscellaneous) (Q4); Statistical and Nonlinear Physics (Q4); Transportation (Q4)"
207;19900193630;"Journal of Physical Science";journal;"16753402, 21804230";0,191;Q4;14;78;94;1846;75;93;0,71;23,67;Malaysia;"Penerbit Universiti Sains Malaysia";"2011-ongoing";"Materials Science (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q4)"
208;21100776052;"41st European Rotorcraft Forum 2015, ERF 2015";conference and proceedings;"00002015";0,190;-;8;0;314;0;90;308;0,22;0,00;Germany;"";"2015";"Physics and Astronomy (miscellaneous)"
209;17600155202;"Journal of Nano Research";journal;"16625250";0,190;Q4;16;51;325;1729;251;318;0,73;33,90;Switzerland;"Trans Tech Publications Ltd.";"2008-ongoing";"Materials Science (miscellaneous) (Q3); Nanoscience and Nanotechnology (Q4); Physics and Astronomy (miscellaneous) (Q4)"
210;29758;"Revista Mexicana de Fisica";journal;"0035001X";0,190;Q4;23;35;182;1055;121;182;0,66;30,14;Mexico;"Siciedad Mexicana de Fisica";"1996-ongoing";"Education (Q4); Physics and Astronomy (miscellaneous) (Q4)"
211;19700188800;"Electronics and Communications in Japan";journal;"19429533";0,187;Q4;11;99;291;1506;79;290;0,24;15,21;United States;"Wiley-Blackwell";"1975, 2008-ongoing";"Computer Networks and Communications (Q3); Electrical and Electronic Engineering (Q3); Applied Mathematics (Q4); Physics and Astronomy (miscellaneous) (Q4); Signal Processing (Q4)"
212;19700201519;"Iranian Journal of Physics Research";journal;"16826957";0,187;Q4;3;60;221;1218;15;221;0,09;20,30;Iran;"Isfahan University of Technology";"2010-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
213;21100840337;"Baghdad Science Journal";journal;"24117986, 20788665";0,186;Q4;3;68;99;1528;19;99;0,19;22,47;Iraq;"University of Baghdad";"2017-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
214;5700165211;"Electronic Journal of Theoretical Physics";journal;"17295254";0,186;Q4;12;16;63;421;18;62;0,29;26,31;Ukraine;"Electronic Journal of Theoretical Physics";"2007-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
215;17700155039;"Revista Materia";journal;"15177076";0,185;Q4;11;319;387;7756;164;373;0,40;24,31;Brazil;"Universidade Federal do Rio de Janeiro, Coordenacao dos Programas de Pos-Graduacao em Engenharia";"2009-ongoing";"Chemistry (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q4)"
216;26916;"AIP Conference Proceedings";conference and proceedings;"00001984, 00002005, 00001983";0,182;-;60;12814;25566;177309;9353;24837;0,40;13,84;United States;"";"1983-1984, 2005-ongoing";"Physics and Astronomy (miscellaneous)"
217;21100227410;"EPJ Web of Conferences";conference and proceedings;"00002012";0,182;-;22;2497;6356;42152;2109;6204;0,35;16,88;France;"";"2012-ongoing";"Physics and Astronomy (miscellaneous)"
218;5200152621;"Proceedings of the National Academy of Sciences India Section A - Physical Sciences";journal;"03698203, 22501762";0,181;Q4;11;70;208;1942;146;204;0,72;27,74;India;"Springer India";"2005-ongoing";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q4)"
219;144737;"Russian Physics Journal";journal;"10648887";0,180;Q4;19;0;637;0;391;604;0,71;0,00;United States;"Springer New York LLC";"1992-1994, 1996-2002, 2004-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
220;21100206004;"Journal of Ovonic Research";journal;"18422403, 15849953";0,176;Q4;10;51;106;1436;62;106;0,52;28,16;Romania;"National Institute of Research and Development for Optoelectronics";"2011-ongoing";"Electronic, Optical and Magnetic Materials (Q4); Physics and Astronomy (miscellaneous) (Q4); Surfaces, Coatings and Films (Q4)"
